Nr. ,Egz.,Autorius ,Pavadinimas ,Metai ,Puslapiai 
351,,"Francis Carsac, Douglas Adams, Kiril Benediktov","Kosmoso robinzonai, (Zafodas lošia saugiai, Šeštosios saulės aušra)",2005,304
352,užs.,Neal Asher,Tinklo įkaitas,2005,378
353,1,Doris Piserchia,Erdvėvaikšta,2006,256
354,,"Arkadij Strugackij, Boris Strugackij",Vabalas skruzdėlyne (5 šaukšteliai eleksyro),2006,240
355,,Vadim Panov,Maskvos klubas,2006,368
356,,William R. Forstchen,Pražuvęs pulkas,2006,352
357,1,Sergej Lukjanenko,Juodraštis,2006,320
358,1,"Mike Resnick, Rodrigo Garcia y Robertson",Juodoji ledi (Ilga kelionė namo),2006,304
359,,Alastair Reynolds,Bedugnės miestas (1 dalis),2006,320
360,,Alastair Reynolds,Bedugnės miestas (2 dalis),2006,304
361,,Vladimir Vasiljev,Ašmenys,2006,336
362,,Glen Cook,Niūrūs laikai,2006,304
363,1,Andreas Eschbach,Skaitmeninis Jėzus: Pirma knyga,2006,288
364,1,Andreas Eschbach,Skaitmeninis Jėzus: Antra knyga,2006,288
365,,David Gemmell,Vilkas šešėlyje,2006,304
366,,Colin Wilson,Filosofinis akmuo,2006,272
367,,Stanislaw Lem,Edenas,2006,272
368,,David Gemmell,Stebuklingieji Sipstrassi,2006,256
369,1,Sergej Lukjanenko,Paskutinė sargyba,2006,320
370,,Richard A. Knaak,Diablo: kraujo paveldas,2006,320
371,1,Michael Moorcock,Elriko kronikos,2006,256
372,1,"Viktor Burcev, Andrej Černecov",Šventoji sala,2006,352
373,1,Michael Swanwick,Žemės kaulai,2006,372
374,,"Vladimir Vasiljev, Dale Bailey, Sergej Lukjanenko","Visagalio akis (Pasaulio pabaiga, kokią mes ją įsivaizduojame, Negrabaila)",2006,272
375,,"Barrington J. Bayley, Poul Anderson",Dzen ginklas (Pradžia),2006,272
376,1,David Gemmell,Kraujo akmuo,2006,320
377,1,Timothy Zahn,Užkariautojo didybė,2006,320
378,,Glen Cook,Tamsa - tai ji (1 dalis),2006,272
379,1,Glen Cook,Tamsa - tai ji (2 dalis),2006,288
380,1,"Arkadij Strugackij, Boris Strugackij, Andrej Pavluchin",Bangos slopina vėją (Jie) ,2006,256
381,1,Michael Moorcock,Mieganti burtininkė,2006,388
382,,Jack L. Chalker,Šokančių dievų upė,2006,320
383,1,Aleksej Pechov,Mantikoros ženklas (1 dalis),2006,272
384,1,Aleksej Pechov,Mantikoros ženklas (2 dalis),2006,284
385,1,Timothy Zahn,Užkariautojo paveldas,2007,320
386,1,Glen Cook,Saldžiabalsis sidabrinis bliuzas,2007,256
387,1,Glen Cook,Nuožmiosios aukso širdys,2007,272
388,1,"James White, Alan E. Nourse, George R. R. Martin, Terry Dawling","Kosminė ligoninė (Per saulėtąją pusę, Akmeninis miestas, Likvidatoriai)",2007,256
389,,Richard K. Morgan,Pražuvę angelai,2007,384
390,1,Timothy Zahn,Užkariautojo pasirinkimas,2007,384
391,1,Vadim Panov,Vedliai kryžkelėje,2007,384
392,,Richard A. Knaak,Diablo: šešėlio spąstai,2007,320
393,1,Michael McCollum,Antario aušra,2007,272
394,1,Glen Cook,Šaltos varinės ašaros,2007,272
395,1,Jack L. Chalker,Šokančių dievų demonai,2007,288
